id,cds_faithful,cds_distracted,cds_diff,len_faithful,len_distracted,len_diff,context_drop,question_rise,total_shift
0,0,0,0,4817,4746,71,,,
1,0,0,0,8758,4772,3986,,,
2,0,0,0,4898,5204,-306,,,
3,0,0,0,6095,5618,477,,,
4,0,0,0,4343,3351,992,,,
5,0,0,0,4443,5133,-690,,,
6,0,0,0,6151,6724,-573,,,
7,0,0,0,5076,1960,3116,,,
8,0,0,0,4746,6199,-1453,,,
9,0,0,0,5846,3859,1987,,,
10,0,0,0,4708,6303,-1595,,,
11,0,0,0,6199,6367,-168,,,
12,0,0,0,4176,4660,-484,,,
13,0,0,0,5313,5475,-162,,,
14,0,0,0,6026,5869,157,,,
15,0,0,0,3848,6157,-2309,,,
16,0,0,0,4616,5016,-400,,,
17,0,0,0,3997,3689,308,,,
18,0,0,0,2631,4343,-1712,,,
19,0,0,0,4669,6084,-1415,,,
20,0,0,0,4142,5836,-1694,,,
21,0,0,0,4850,5545,-695,,,
22,0,0,0,6084,4373,1711,,,
23,0,0,0,3640,2631,1009,,,
24,0,0,0,5116,4625,491,,,
25,0,0,0,7187,2621,4566,,,
26,0,0,0,10372,5076,5296,,,
27,0,0,0,5133,10372,-5239,,,
28,0,0,0,7164,5035,2129,,,
29,0,0,0,5001,5283,-282,,,
30,0,0,0,3740,3171,569,,,
31,0,0,0,4373,6724,-2351,,,
32,0,0,0,3454,5718,-2264,,,
33,0,0,0,3171,6084,-2913,,,
34,0,0,0,5331,4335,996,,,
35,0,0,0,5365,4805,560,,,
36,0,0,0,5496,4517,979,,,
37,0,0,0,4679,7226,-2547,,,
38,0,0,0,4676,7578,-2902,,,
39,0,0,0,4877,4850,27,,,
40,0,0,0,10669,4567,6102,,,
41,0,0,0,5643,5705,-62,,,
42,0,0,0,5035,7578,-2543,,,
43,0,0,0,2959,5673,-2714,,,
44,0,0,0,3679,6084,-2405,,,
45,0,0,0,5939,6095,-156,,,
46,0,0,0,3689,8682,-4993,,,
47,0,0,0,2242,4744,-2502,,,
48,0,0,0,9442,10372,-930,,,
49,0,0,0,5858,5016,842,,,
50,0,0,0,3731,4676,-945,,,
51,0,0,0,5785,5673,112,,,
52,0,0,0,9096,9442,-346,,,
53,0,0,0,4478,5869,-1391,,,
54,0,0,0,5836,4766,1070,,,
55,0,0,0,6339,4817,1522,,,
56,0,0,0,6367,7325,-958,,,
57,0,0,0,4316,3887,429,,,
58,0,0,0,5842,5331,511,,,
59,0,0,0,8217,3859,4358,,,
60,0,0,0,3859,4679,-820,,,
61,0,0,0,4772,5259,-487,,,
62,0,0,0,4335,4222,113,,,
63,0,0,0,5813,4746,1067,,,
64,0,0,0,4069,10372,-6303,,,
65,0,0,0,5871,4373,1498,,,
66,0,0,0,519,4737,-4218,,,
67,0,0,0,5259,2242,3017,,,
68,0,0,0,6666,4732,1934,,,
69,0,0,0,5016,6598,-1582,,,
70,0,0,0,6701,5718,983,,,
71,0,0,0,4282,6026,-1744,,,
72,0,0,0,2138,3616,-1478,,,
73,0,0,0,5659,6151,-492,,,
74,0,0,0,4802,5017,-215,,,
75,0,0,0,5016,6042,-1026,,,
76,0,0,0,4297,4069,228,,,
77,0,0,0,6157,5204,953,,,
78,0,0,0,5705,3710,1995,,,
79,0,0,0,4580,4199,381,,,
80,0,0,0,6437,6157,280,,,
81,0,0,0,8706,6572,2134,,,
82,0,0,0,4176,5331,-1155,,,
83,0,0,0,4517,5718,-1201,,,
84,0,0,0,3752,6199,-2447,,,
85,0,0,0,5634,5282,352,,,
86,0,0,0,4386,5774,-1388,,,
87,0,0,0,6465,4775,1690,,,
88,0,0,0,4567,5707,-1140,,,
89,0,0,0,2621,4373,-1752,,,
90,0,0,0,4971,4805,166,,,
91,0,0,0,3928,4676,-748,,,
92,0,0,0,6179,5478,701,,,
93,0,0,0,3040,4793,-1753,,,
94,0,0,0,6904,5133,1771,,,
95,0,0,0,5475,2242,3233,,,
96,0,0,0,5596,4343,1253,,,
97,0,0,0,4805,5116,-311,,,
98,0,0,0,5397,6095,-698,,,
99,0,0,0,3481,4368,-887,,,
100,0,0,0,5922,4069,1853,,,
101,0,0,0,6925,5939,986,,,
102,0,0,0,1960,6199,-4239,,,
103,0,0,0,5714,4119,1595,,,
104,0,0,0,3351,4069,-718,,,
105,0,0,0,3656,5586,-1930,,,
106,0,0,0,4775,4877,-102,,,
107,0,0,0,4793,4069,724,,,
108,0,0,0,10335,4817,5518,,,
109,0,0,0,8382,5403,2979,,,
110,0,0,0,6853,2631,4222,,,
111,0,0,0,7226,5869,1357,,,
112,0,0,0,4332,4222,110,,,
113,0,0,0,5133,3689,1444,,,
114,0,0,0,5382,3245,2137,,,
115,0,0,0,7578,6925,653,,,
116,0,0,0,4732,4802,-70,,,
117,0,0,0,8411,5927,2484,,,
118,0,0,0,5204,5939,-735,,,
119,0,0,0,5766,4199,1567,,,
120,0,0,0,4419,8394,-3975,,,
121,0,0,0,3887,519,3368,,,
122,0,0,0,6998,6465,533,,,
123,0,0,0,4043,3859,184,,,
124,0,0,0,5680,5133,547,,,
125,0,0,0,4080,7578,-3498,,,
126,0,0,0,5714,3859,1855,,,
127,0,0,0,5673,4737,936,,,
128,0,0,0,4535,2621,1914,,,
129,0,0,0,4119,4297,-178,,,
130,0,0,0,5403,4297,1106,,,
131,0,0,0,3318,5618,-2300,,,
132,0,0,0,4199,3740,459,,,
133,0,0,0,6572,6303,269,,,
134,0,0,0,9655,4775,4880,,,
135,0,0,0,5718,5643,75,,,
136,0,0,0,4503,5001,-498,,,
137,0,0,0,5707,3752,1955,,,
138,0,0,0,5730,4737,993,,,
139,0,0,0,5092,4316,776,,,
140,0,0,0,4222,6557,-2335,,,
141,0,0,0,5171,4850,321,,,
142,0,0,0,6945,9442,-2497,,,
143,0,0,0,6890,5076,1814,,,
144,0,0,0,3801,2959,842,,,
145,0,0,0,4625,5654,-1029,,,
146,0,0,0,4368,3740,628,,,
147,0,0,0,3002,4553,-1551,,,
148,0,0,0,3227,5643,-2416,,,
149,0,0,0,7325,4222,3103,,,
150,0,0,0,6199,5659,540,,,
151,0,0,0,4155,5638,-1483,,,
152,0,0,0,5545,5496,49,,,
153,0,0,0,3710,6074,-2364,,,
154,0,0,0,4737,7757,-3020,,,
155,0,0,0,7757,6572,1185,,,
156,0,0,0,4660,5016,-356,,,
157,0,0,0,6303,4766,1537,,,
