id,cds_faithful,cds_distracted,cds_diff,len_faithful,len_distracted,len_diff,context_drop,question_rise,total_shift
0,0,0,0,3105,2679,426,,,
1,0,0,0,2830,3293,-463,,,
2,0,0,0,3295,3038,257,,,
3,0,0,0,3066,3149,-83,,,
4,0,0,0,2567,2914,-347,,,
5,0,0,0,3133,3504,-371,,,
6,0,0,0,3717,2884,833,,,
7,0,0,0,5354,2030,3324,,,
8,0,0,0,3158,2127,1031,,,
9,0,0,0,2758,2608,150,,,
10,0,0,0,3668,2953,715,,,
11,0,0,0,3723,5695,-1972,,,
12,0,0,0,2881,2937,-56,,,
13,0,0,0,5145,3434,1711,,,
14,0,0,0,3495,2768,727,,,
15,0,0,0,3131,3829,-698,,,
16,0,0,0,2746,3160,-414,,,
17,0,0,0,3255,3218,37,,,
18,0,0,0,1995,3829,-1834,,,
19,0,0,0,3796,2654,1142,,,
20,0,0,0,2768,2788,-20,,,
21,0,0,0,3111,3792,-681,,,
22,0,0,0,2520,1820,700,,,
23,0,0,0,3434,2889,545,,,
24,0,0,0,2881,3094,-213,,,
25,0,0,0,2439,2030,409,,,
26,0,0,0,5695,3434,2261,,,
27,0,0,0,4905,2439,2466,,,
28,0,0,0,2644,2746,-102,,,
29,0,0,0,2876,2612,264,,,
30,0,0,0,2905,2720,185,,,
31,0,0,0,3595,5402,-1807,,,
32,0,0,0,2360,3809,-1449,,,
33,0,0,0,2772,3147,-375,,,
34,0,0,0,2833,3214,-381,,,
35,0,0,0,5483,2991,2492,,,
36,0,0,0,3243,2760,483,,,
37,0,0,0,5809,2883,2926,,,
38,0,0,0,2583,2866,-283,,,
39,0,0,0,2953,2657,296,,,
40,0,0,0,2679,2567,112,,,
41,0,0,0,5818,3256,2562,,,
42,0,0,0,3303,2770,533,,,
43,0,0,0,3036,3033,3,,,
44,0,0,0,3256,2567,689,,,
45,0,0,0,2916,1896,1020,,,
46,0,0,0,2787,2863,-76,,,
47,0,0,0,2835,2030,805,,,
48,0,0,0,2716,2746,-30,,,
49,0,0,0,2863,2651,212,,,
50,0,0,0,2884,2745,139,,,
51,0,0,0,2281,5589,-3308,,,
52,0,0,0,2837,5906,-3069,,,
53,0,0,0,3245,3214,31,,,
54,0,0,0,3809,2889,920,,,
55,0,0,0,3361,2127,1234,,,
56,0,0,0,3204,3256,-52,,,
57,0,0,0,3007,3796,-789,,,
58,0,0,0,2775,3033,-258,,,
59,0,0,0,3062,2758,304,,,
60,0,0,0,5857,2745,3112,,,
61,0,0,0,2549,3796,-1247,,,
62,0,0,0,2963,4767,-1804,,,
63,0,0,0,2619,2866,-247,,,
64,0,0,0,2605,3218,-613,,,
65,0,0,0,2957,3794,-837,,,
66,0,0,0,2949,3243,-294,,,
67,0,0,0,1968,2605,-637,,,
68,0,0,0,5050,3504,1546,,,
69,0,0,0,2264,2608,-344,,,
70,0,0,0,2853,4866,-2013,,,
71,0,0,0,5362,2816,2546,,,
72,0,0,0,5230,2030,3200,,,
73,0,0,0,3109,2679,430,,,
74,0,0,0,5602,1820,3782,,,
75,0,0,0,3281,2984,297,,,
76,0,0,0,2770,3007,-237,,,
