id,cds_faithful,cds_distracted,cds_diff,len_faithful,len_distracted,len_diff,context_drop,question_rise,total_shift
0,0,0,0,540,855,-315,,,
1,0,0,0,787,1190,-403,,,
2,0,0,0,738,760,-22,,,
3,0,0,0,1779,599,1180,,,
4,0,0,0,858,585,273,,,
5,0,0,0,1017,576,441,,,
6,0,0,0,1073,577,496,,,
7,0,0,0,394,1046,-652,,,
8,0,0,0,519,689,-170,,,
9,0,0,0,1034,2012,-978,,,
10,0,0,0,627,830,-203,,,
11,0,0,0,795,601,194,,,
12,0,0,0,593,2209,-1616,,,
13,0,0,0,574,569,5,,,
14,0,0,0,1103,668,435,,,
15,0,0,0,881,715,166,,,
16,0,0,0,852,562,290,,,
17,0,0,0,1024,815,209,,,
18,0,0,0,554,724,-170,,,
19,0,0,0,636,771,-135,,,
20,0,0,0,658,568,90,,,
21,0,0,0,519,610,-91,,,
22,0,0,0,838,1034,-196,,,
23,0,0,0,598,1047,-449,,,
24,0,0,0,800,688,112,,,
25,0,0,0,797,855,-58,,,
26,0,0,0,924,1046,-122,,,
27,0,0,0,1190,896,294,,,
28,0,0,0,704,689,15,,,
29,0,0,0,622,1142,-520,,,
30,0,0,0,687,615,72,,,
31,0,0,0,568,546,22,,,
32,0,0,0,257,1137,-880,,,
33,0,0,0,527,771,-244,,,
34,0,0,0,638,746,-108,,,
35,0,0,0,610,638,-28,,,
36,0,0,0,971,815,156,,,
37,0,0,0,776,1172,-396,,,
38,0,0,0,543,795,-252,,,
39,0,0,0,762,703,59,,,
40,0,0,0,549,615,-66,,,
41,0,0,0,759,776,-17,,,
42,0,0,0,509,569,-60,,,
43,0,0,0,176,685,-509,,,
44,0,0,0,818,830,-12,,,
45,0,0,0,809,509,300,,,
46,0,0,0,536,865,-329,,,
47,0,0,0,599,1305,-706,,,
48,0,0,0,391,842,-451,,,
49,0,0,0,527,685,-158,,,
50,0,0,0,638,638,0,,,
51,0,0,0,875,506,369,,,
52,0,0,0,551,1137,-586,,,
53,0,0,0,702,306,396,,,
54,0,0,0,568,602,-34,,,
55,0,0,0,1271,797,474,,,
56,0,0,0,1285,554,731,,,
57,0,0,0,690,688,2,,,
58,0,0,0,1145,1285,-140,,,
59,0,0,0,830,809,21,,,
60,0,0,0,865,891,-26,,,
61,0,0,0,942,1034,-92,,,
62,0,0,0,586,1142,-556,,,
63,0,0,0,634,562,72,,,
64,0,0,0,697,769,-72,,,
65,0,0,0,845,724,121,,,
66,0,0,0,598,855,-257,,,
67,0,0,0,635,842,-207,,,
68,0,0,0,601,464,137,,,
69,0,0,0,881,799,82,,,
70,0,0,0,607,610,-3,,,
71,0,0,0,503,845,-342,,,
72,0,0,0,869,415,454,,,
73,0,0,0,882,554,328,,,
74,0,0,0,1539,1190,349,,,
75,0,0,0,815,799,16,,,
76,0,0,0,1245,971,274,,,
77,0,0,0,688,1142,-454,,,
78,0,0,0,690,892,-202,,,
79,0,0,0,1057,568,489,,,
80,0,0,0,545,569,-24,,,
81,0,0,0,917,916,1,,,
82,0,0,0,703,2051,-1348,,,
83,0,0,0,791,616,175,,,
84,0,0,0,842,615,227,,,
85,0,0,0,782,541,241,,,
86,0,0,0,821,636,185,,,
87,0,0,0,699,415,284,,,
88,0,0,0,891,2012,-1121,,,
89,0,0,0,769,599,170,,,
90,0,0,0,513,738,-225,,,
91,0,0,0,308,809,-501,,,
92,0,0,0,550,1539,-989,,,
93,0,0,0,702,1017,-315,,,
94,0,0,0,698,697,1,,,
95,0,0,0,415,530,-115,,,
96,0,0,0,506,760,-254,,,
97,0,0,0,306,797,-491,,,
98,0,0,0,1172,765,407,,,
99,0,0,0,577,397,180,,,
100,0,0,0,799,610,189,,,
101,0,0,0,724,599,125,,,
102,0,0,0,415,1220,-805,,,
103,0,0,0,2051,610,1441,,,
104,0,0,0,916,1215,-299,,,
